gName	FisherP	Mut_C1	Nor_C1	Mut_C234	Nor_C234	padj
DROSHA	0.0207542024297638	3	43	1	202	1
MCF2	0.0207542024297638	3	43	1	202	1
SLC7A2	0.0207542024297638	3	43	1	202	1
GRIA4	0.0207542024297638	3	43	1	202	1
SNAP91	0.0207542024297638	3	43	1	202	1
COL18A1	0.0207542024297638	3	43	1	202	1
ADPGK	0.0207542024297638	3	43	1	202	1
KIAA2022	0.0207542024297638	3	43	1	202	1
UVRAG	0.0207542024297638	3	43	1	202	1
PHF21B	0.0207542024297638	3	43	1	202	1
CCDC144NL	0.0207542024297638	3	43	1	202	1
TOX3	0.0207542024297638	3	43	1	202	1
DMXL2	0.0207542024297638	3	43	1	202	1
CADM2	0.0207542024297638	3	43	1	202	1
ZNF804A	0.0207542024297638	3	43	1	202	1
DYNC2H1	0.0235075225347599	4	42	3	200	1
FAM47C	0.0235075225347599	4	42	3	200	1
CELSR3	0.0235075225347599	4	42	3	200	1
PRKDC	0.0235075225347599	4	42	3	200	1
MROH2B	0.0235075225347599	4	42	3	200	1
ABCB5	0.0235075225347599	4	42	3	200	1
CPA6	0.0335211815001943	2	44	0	203	1
C15orf27	0.0335211815001943	2	44	0	203	1
ZC3H12A	0.0335211815001943	2	44	0	203	1
MDGA1	0.0335211815001943	2	44	0	203	1
EIF3L	0.0335211815001943	2	44	0	203	1
KCNQ3	0.0335211815001943	2	44	0	203	1
DCUN1D4	0.0335211815001943	2	44	0	203	1
LMBR1	0.0335211815001943	2	44	0	203	1
F2RL2	0.0335211815001943	2	44	0	203	1
COL8A2	0.0335211815001943	2	44	0	203	1
CASR	0.0335211815001943	2	44	0	203	1
LCN15	0.0335211815001943	2	44	0	203	1
FZD9	0.0335211815001943	2	44	0	203	1
SSH3	0.0335211815001943	2	44	0	203	1
ECHDC3	0.0335211815001943	2	44	0	203	1
IFT52	0.0335211815001943	2	44	0	203	1
ZNF705A	0.0335211815001943	2	44	0	203	1
MMP1	0.0335211815001943	2	44	0	203	1
RNF11	0.0335211815001943	2	44	0	203	1
TRPM4	0.0335211815001943	2	44	0	203	1
SLC27A4	0.0335211815001943	2	44	0	203	1
DOK3	0.0335211815001943	2	44	0	203	1
ART1	0.0335211815001943	2	44	0	203	1
RASA1	0.0335211815001943	2	44	0	203	1
ZNF676	0.0335211815001943	2	44	0	203	1
EPHA6	0.0335211815001943	2	44	0	203	1
COLEC12	0.0335211815001943	2	44	0	203	1
AQP12A	0.0335211815001943	2	44	0	203	1
AKAP5	0.0335211815001943	2	44	0	203	1
KTN1	0.0335211815001943	2	44	0	203	1
ALPK1	0.0335211815001943	2	44	0	203	1
HOXC11	0.0335211815001943	2	44	0	203	1
FASTKD3	0.0335211815001943	2	44	0	203	1
MYO1B	0.0335211815001943	2	44	0	203	1
SLC26A9	0.0335211815001943	2	44	0	203	1
MORN1	0.0335211815001943	2	44	0	203	1
RBM28	0.0335211815001943	2	44	0	203	1
FZR1	0.0335211815001943	2	44	0	203	1
SENP3	0.0335211815001943	2	44	0	203	1
CDKL2	0.0335211815001943	2	44	0	203	1
ATP6AP2	0.0335211815001943	2	44	0	203	1
RAB10	0.0335211815001943	2	44	0	203	1
ADCY8	0.0335211815001943	2	44	0	203	1
TUBB2B	0.0335211815001943	2	44	0	203	1
KSR1	0.0335211815001943	2	44	0	203	1
SPTBN5	0.0335211815001943	2	44	0	203	1
C17orf47	0.0335211815001943	2	44	0	203	1
DRC7	0.0335211815001943	2	44	0	203	1
OR51F1	0.0335211815001943	2	44	0	203	1
BTF3L4	0.0335211815001943	2	44	0	203	1
CCDC117	0.0335211815001943	2	44	0	203	1
FAM133B	0.0335211815001943	2	44	0	203	1
RP11-578F21.10	0.0335211815001943	2	44	0	203	1
CCDC178	0.0335211815001943	2	44	0	203	1
KLHL13	0.0335211815001943	2	44	0	203	1
ARFIP1	0.0335211815001943	2	44	0	203	1
CHRNA4	0.0335211815001943	2	44	0	203	1
KIF7	0.0335211815001943	2	44	0	203	1
ZNF12	0.0335211815001943	2	44	0	203	1
MIS12	0.0335211815001943	2	44	0	203	1
KDM6B	0.0335211815001943	2	44	0	203	1
NR1H2	0.0335211815001943	2	44	0	203	1
AGK	0.0335211815001943	2	44	0	203	1
NLGN3	0.0335211815001943	2	44	0	203	1
CES5A	0.0335211815001943	2	44	0	203	1
KIAA1324L	0.0335211815001943	2	44	0	203	1
KLHL40	0.0335211815001943	2	44	0	203	1
TEX30	0.0335211815001943	2	44	0	203	1
GPR135	0.0335211815001943	2	44	0	203	1
OR7C2	0.0335211815001943	2	44	0	203	1
FRRS1L	0.0335211815001943	2	44	0	203	1
C20orf62	0.0335211815001943	2	44	0	203	1
MARCKS	0.0335211815001943	2	44	0	203	1
TEP1	0.0335211815001943	2	44	0	203	1
DCX	0.0335211815001943	2	44	0	203	1
MAP7	0.0335211815001943	2	44	0	203	1
OR4C4P	0.0335211815001943	2	44	0	203	1
MAP3K7	0.0335211815001943	2	44	0	203	1
GAS2	0.0335211815001943	2	44	0	203	1
C11orf85	0.0335211815001943	2	44	0	203	1
ZNF341	0.0335211815001943	2	44	0	203	1
ARHGAP33	0.0335211815001943	2	44	0	203	1
TAS1R3	0.0335211815001943	2	44	0	203	1
ZDHHC8	0.0335211815001943	2	44	0	203	1
NPC1L1	0.0335211815001943	2	44	0	203	1
RPGRIP1	0.0335211815001943	2	44	0	203	1
SEC24B	0.0335211815001943	2	44	0	203	1
U2AF2	0.0335211815001943	2	44	0	203	1
MTMR9LP	0.0335211815001943	2	44	0	203	1
CARD6	0.0335211815001943	2	44	0	203	1
TGIF2LX	0.0335211815001943	2	44	0	203	1
ZNF304	0.0335211815001943	2	44	0	203	1
IRF9	0.0335211815001943	2	44	0	203	1
BFAR	0.0335211815001943	2	44	0	203	1
JAG2	0.0335211815001943	2	44	0	203	1
EFEMP2	0.0335211815001943	2	44	0	203	1
GOLGA4	0.0335211815001943	2	44	0	203	1
EIF2AK3	0.0335211815001943	2	44	0	203	1
STXBP4	0.0335211815001943	2	44	0	203	1
TIMELESS	0.0335211815001943	2	44	0	203	1
BCL2L12	0.0335211815001943	2	44	0	203	1
COX15	0.0335211815001943	2	44	0	203	1
ANKRD11	0.0335211815001943	2	44	0	203	1
SCAPER	0.0335211815001943	2	44	0	203	1
HERC2P2	0.0335211815001943	2	44	0	203	1
ITIH2	0.0335211815001943	2	44	0	203	1
ESRRG	0.0335211815001943	2	44	0	203	1
TMEM201	0.0335211815001943	2	44	0	203	1
PARP2	0.0335211815001943	2	44	0	203	1
KLRG1	0.0335211815001943	2	44	0	203	1
PXDN	0.0335211815001943	2	44	0	203	1
STAC2	0.0335211815001943	2	44	0	203	1
CTSG	0.0335211815001943	2	44	0	203	1
TMEM131	0.0335211815001943	2	44	0	203	1
SYN3	0.0335211815001943	2	44	0	203	1
RBBP8NL	0.0335211815001943	2	44	0	203	1
SLC2A4	0.0335211815001943	2	44	0	203	1
LAG3	0.0335211815001943	2	44	0	203	1
SLC13A4	0.0335211815001943	2	44	0	203	1
DDX18	0.0335211815001943	2	44	0	203	1
GPR85	0.0335211815001943	2	44	0	203	1
CAPN7	0.0335211815001943	2	44	0	203	1
SUCLG1	0.0335211815001943	2	44	0	203	1
CPEB4	0.0335211815001943	2	44	0	203	1
MYOM3	0.0335211815001943	2	44	0	203	1
LRTOMT	0.0335211815001943	2	44	0	203	1
ACTL8	0.0335211815001943	2	44	0	203	1
CEP72	0.0335211815001943	2	44	0	203	1
KRT79	0.0335211815001943	2	44	0	203	1
T	0.0335211815001943	2	44	0	203	1
UBXN10	0.0335211815001943	2	44	0	203	1
IRAK2	0.0335211815001943	2	44	0	203	1
CBLN4	0.0335211815001943	2	44	0	203	1
GHSR	0.0335211815001943	2	44	0	203	1
INO80D	0.0335211815001943	2	44	0	203	1
COPS8	0.0335211815001943	2	44	0	203	1
PNPT1	0.0335211815001943	2	44	0	203	1
BDH2	0.0335211815001943	2	44	0	203	1
CEP162	0.0335211815001943	2	44	0	203	1
ENAM	0.0335211815001943	2	44	0	203	1
EDF1	0.0335211815001943	2	44	0	203	1
EHMT1	0.0335211815001943	2	44	0	203	1
STIP1	0.0335211815001943	2	44	0	203	1
PPFIA3	0.0335211815001943	2	44	0	203	1
DHX30	0.0335211815001943	2	44	0	203	1
AC000036.4	0.0335211815001943	2	44	0	203	1
TSTD2	0.0335211815001943	2	44	0	203	1
SLC6A18	0.0335211815001943	2	44	0	203	1
TAMM41	0.0335211815001943	2	44	0	203	1
GTF3C3	0.0335211815001943	2	44	0	203	1
SLC24A3	0.0335211815001943	2	44	0	203	1
LRRTM4	0.0335211815001943	2	44	0	203	1
MMD2	0.0335211815001943	2	44	0	203	1
RAC1	0.0335211815001943	2	44	0	203	1
FAM84A	0.0335211815001943	2	44	0	203	1
KANSL3	0.0335211815001943	2	44	0	203	1
GBP5	0.0335211815001943	2	44	0	203	1
ACTR5	0.0335211815001943	2	44	0	203	1
TRIM53AP	0.0335211815001943	2	44	0	203	1
PABPC5	0.0335211815001943	2	44	0	203	1
WDR70	0.0335211815001943	2	44	0	203	1
RPL13A	0.0335211815001943	2	44	0	203	1
ARPP19	0.0335211815001943	2	44	0	203	1
PLCB3	0.0335211815001943	2	44	0	203	1
SETD8	0.0335211815001943	2	44	0	203	1
SPRY1	0.0335211815001943	2	44	0	203	1
TSGA10	0.0335211815001943	2	44	0	203	1
MEOX2	0.0335211815001943	2	44	0	203	1
UBALD1	0.0335211815001943	2	44	0	203	1
MIR6511A2	0.0335211815001943	2	44	0	203	1
TNIK	0.0335211815001943	2	44	0	203	1
NLRX1	0.0335211815001943	2	44	0	203	1
LTN1	0.0335211815001943	2	44	0	203	1
H6PD	0.0335211815001943	2	44	0	203	1
ADCK1	0.0335211815001943	2	44	0	203	1
C9orf62	0.0335211815001943	2	44	0	203	1
CDK20	0.0335211815001943	2	44	0	203	1
VWDE	0.0335211815001943	2	44	0	203	1
TARS2	0.0335211815001943	2	44	0	203	1
GRIK1	0.0335211815001943	2	44	0	203	1
RREB1	0.0335211815001943	2	44	0	203	1
MRGPRF	0.0335211815001943	2	44	0	203	1
LRG1	0.0335211815001943	2	44	0	203	1
MYH13	0.0335211815001943	2	44	0	203	1
SPACA3	0.0335211815001943	2	44	0	203	1
RGS6	0.0335211815001943	2	44	0	203	1
DDHD1	0.0335211815001943	2	44	0	203	1
ELFN1	0.0335211815001943	2	44	0	203	1
CETN3	0.0335211815001943	2	44	0	203	1
HIST1H4J	0.0335211815001943	2	44	0	203	1
UMODL1	0.0335211815001943	2	44	0	203	1
LHX1	0.0335211815001943	2	44	0	203	1
GDA	0.0335211815001943	2	44	0	203	1
EID1	0.0335211815001943	2	44	0	203	1
FMN1	0.0335211815001943	2	44	0	203	1
SLC52A3	0.0335211815001943	2	44	0	203	1
OR10G9	0.0335211815001943	2	44	0	203	1
SLC35D3	0.0335211815001943	2	44	0	203	1
ARHGAP12	0.0335211815001943	2	44	0	203	1
NEUROG3	0.0335211815001943	2	44	0	203	1
CYP2S1	0.0335211815001943	2	44	0	203	1
HSP90AA1	0.0335211815001943	2	44	0	203	1
OR2T1	0.0335211815001943	2	44	0	203	1
OR1G1	0.0335211815001943	2	44	0	203	1
CPS1	0.0335211815001943	2	44	0	203	1
TACC3	0.0335211815001943	2	44	0	203	1
PARVG	0.0335211815001943	2	44	0	203	1
NEUROD6	0.0335211815001943	2	44	0	203	1
UBAP1	0.0335211815001943	2	44	0	203	1
KMT2B	0.0335211815001943	2	44	0	203	1
BAAT	0.0335211815001943	2	44	0	203	1
OR52A1	0.0335211815001943	2	44	0	203	1
ADORA2A	0.0335211815001943	2	44	0	203	1
CAPN5	0.0335211815001943	2	44	0	203	1
SDR42E1	0.0335211815001943	2	44	0	203	1
SOAT2	0.0335211815001943	2	44	0	203	1
MED20	0.0335211815001943	2	44	0	203	1
PPAP2B	0.0335211815001943	2	44	0	203	1
AKAP11	0.0335211815001943	2	44	0	203	1
ACSM2B	0.0335211815001943	2	44	0	203	1
NDST1	0.0335211815001943	2	44	0	203	1
C15orf52	0.0335211815001943	2	44	0	203	1
ABCF1	0.0335211815001943	2	44	0	203	1
GLRA2	0.0335211815001943	2	44	0	203	1
RGS9BP	0.0335211815001943	2	44	0	203	1
SKAP1	0.0335211815001943	2	44	0	203	1
TTC25	0.0335211815001943	2	44	0	203	1
PIK3C2B	0.0335211815001943	2	44	0	203	1
COL17A1	0.0335211815001943	2	44	0	203	1
SLC5A7	0.0335211815001943	2	44	0	203	1
SLC35A4	0.0335211815001943	2	44	0	203	1
RTKN	0.0335211815001943	2	44	0	203	1
SBF1	0.0335211815001943	2	44	0	203	1
CSF2RA	0.0335211815001943	2	44	0	203	1
KLRC3	0.0335211815001943	2	44	0	203	1
BMPER	0.0335211815001943	2	44	0	203	1
RAD9B	0.0335211815001943	2	44	0	203	1
RNF38	0.0335211815001943	2	44	0	203	1
SPATA31B1P	0.0335211815001943	2	44	0	203	1
PCDHGB4	0.0335211815001943	2	44	0	203	1
KCNA3	0.0335211815001943	2	44	0	203	1
WASF3	0.0335211815001943	2	44	0	203	1
CD1B	0.0335211815001943	2	44	0	203	1
LMF2	0.0335211815001943	2	44	0	203	1
PES1	0.0335211815001943	2	44	0	203	1
PKD2L1	0.0335211815001943	2	44	0	203	1
OR4Q3	0.0335211815001943	2	44	0	203	1
PCDHGC5	0.0335211815001943	2	44	0	203	1
KIF25	0.0335211815001943	2	44	0	203	1
BBOX1	0.0335211815001943	2	44	0	203	1
ARHGAP6	0.0335211815001943	2	44	0	203	1
TBRG1	0.0335211815001943	2	44	0	203	1
RBBP4	0.0335211815001943	2	44	0	203	1
AMOTL1	0.0335211815001943	2	44	0	203	1
TUBBP5	0.0335211815001943	2	44	0	203	1
RP11-407N17.3	0.0335211815001943	2	44	0	203	1
WNK1	0.0335211815001943	2	44	0	203	1
SLC52A2	0.0335211815001943	2	44	0	203	1
HAS2	0.0335211815001943	2	44	0	203	1
PTK2B	0.0335211815001943	2	44	0	203	1
TRIM38	0.0335211815001943	2	44	0	203	1
ZNF677	0.0335211815001943	2	44	0	203	1
SRL	0.0335211815001943	2	44	0	203	1
WDR44	0.0335211815001943	2	44	0	203	1
GAPVD1	0.0335211815001943	2	44	0	203	1
PRKG2	0.0335211815001943	2	44	0	203	1
SLFN14	0.0335211815001943	2	44	0	203	1
ASPHD1	0.0335211815001943	2	44	0	203	1
OR2A25	0.0335211815001943	2	44	0	203	1
SPHKAP	0.0335637495313282	5	41	6	197	1
DNAH9	0.0335637495313282	5	41	6	197	1
AHNAK2	0.0406381134362789	4	42	4	199	1
DSCAM	0.0406381134362789	4	42	4	199	1
ZNF831	0.0406381134362789	4	42	4	199	1
COL5A3	0.0406381134362789	4	42	4	199	1
GRM8	0.045130767408923	3	43	2	201	1
MYO16	0.045130767408923	3	43	2	201	1
PSD2	0.045130767408923	3	43	2	201	1
ADAMTS18	0.045130767408923	3	43	2	201	1
RGL1	0.045130767408923	3	43	2	201	1
SLC26A10	0.045130767408923	3	43	2	201	1
SASH1	0.045130767408923	3	43	2	201	1
TMEM132B	0.045130767408923	3	43	2	201	1
PKD1	0.045130767408923	3	43	2	201	1
UNC80	0.045130767408923	3	43	2	201	1
DAGLA	0.045130767408923	3	43	2	201	1
DGKG	0.045130767408923	3	43	2	201	1
INPP5D	0.045130767408923	3	43	2	201	1
SEL1L2	0.045130767408923	3	43	2	201	1
MYH7B	0.045130767408923	3	43	2	201	1
SYNGAP1	0.045130767408923	3	43	2	201	1
FBN3	0.045130767408923	3	43	2	201	1
LAMA5	0.045130767408923	3	43	2	201	1
LOXHD1	0.045130767408923	3	43	2	201	1
SEMA6D	0.045130767408923	3	43	2	201	1
NEGR1	0.045130767408923	3	43	2	201	1
KBTBD12	0.045130767408923	3	43	2	201	1
PAQR8	0.045130767408923	3	43	2	201	1
CR1	0.045130767408923	3	43	2	201	1
MAP3K9	0.045130767408923	3	43	2	201	1
DSCAML1	0.045130767408923	3	43	2	201	1
FN1	0.045130767408923	3	43	2	201	1
RP11-766F14.2	0.045130767408923	3	43	2	201	1
LRRK2	0.045130767408923	3	43	2	201	1
PKHD1L1	0.049568498997769	5	41	7	196	1
MACF1	0.049568498997769	5	41	7	196	1
FUT9	0.049568498997769	5	41	7	196	1
WDR87	0.0632703961874972	4	42	5	198	1
DMD	0.0632703961874972	4	42	5	198	1
DTX4	0.0632703961874972	4	42	5	198	1
MUM1L1	0.0785985922778507	3	43	3	200	1
GABRR1	0.0785985922778507	3	43	3	200	1
ASTN2	0.0785985922778507	3	43	3	200	1
MYO3B	0.0785985922778507	3	43	3	200	1
BCL9	0.0785985922778507	3	43	3	200	1
RASGRF1	0.0785985922778507	3	43	3	200	1
MYH15	0.0785985922778507	3	43	3	200	1
NBEA	0.0785985922778507	3	43	3	200	1
ZFHX4	0.0785985922778507	3	43	3	200	1
PRRC2B	0.0785985922778507	3	43	3	200	1
HERC2	0.0785985922778507	3	43	3	200	1
KIF1B	0.0785985922778507	3	43	3	200	1
SPTBN4	0.0785985922778507	3	43	3	200	1
CAMTA1	0.0785985922778507	3	43	3	200	1
RP1L1	0.0785985922778507	3	43	3	200	1
CECR2	0.0785985922778507	3	43	3	200	1
SCN1A	0.0785985922778507	3	43	3	200	1
MMRN1	0.0886207753831049	2	44	1	202	1
TTBK1	0.0886207753831049	2	44	1	202	1
KIAA0556	0.0886207753831049	2	44	1	202	1
QSOX2	0.0886207753831049	2	44	1	202	1
TGFBRAP1	0.0886207753831049	2	44	1	202	1
CRNKL1	0.0886207753831049	2	44	1	202	1
FAT4	0.0886207753831049	2	44	1	202	1
B4GALT3	0.0886207753831049	2	44	1	202	1
ZNF490	0.0886207753831049	2	44	1	202	1
GPSM1	0.0886207753831049	2	44	1	202	1
DYSF	0.0886207753831049	2	44	1	202	1
LARGE	0.0886207753831049	2	44	1	202	1
VMA21	0.0886207753831049	2	44	1	202	1
DNMT3B	0.0886207753831049	2	44	1	202	1
ARHGAP5	0.0886207753831049	2	44	1	202	1
POTEH	0.0886207753831049	2	44	1	202	1
TBK1	0.0886207753831049	2	44	1	202	1
RASA3	0.0886207753831049	2	44	1	202	1
FBXO5	0.0886207753831049	2	44	1	202	1
SMARCA5	0.0886207753831049	2	44	1	202	1
ANKRD36BP2	0.0886207753831049	2	44	1	202	1
MICAL3	0.0886207753831049	2	44	1	202	1
ZNF536	0.0886207753831049	2	44	1	202	1
DBF4	0.0886207753831049	2	44	1	202	1
FAM179A	0.0886207753831049	2	44	1	202	1
KCNB2	0.0886207753831049	2	44	1	202	1
KIF6	0.0886207753831049	2	44	1	202	1
MIER3	0.0886207753831049	2	44	1	202	1
FER1L6	0.0886207753831049	2	44	1	202	1
CNTNAP4	0.0886207753831049	2	44	1	202	1
ITGAV	0.0886207753831049	2	44	1	202	1
LPIN2	0.0886207753831049	2	44	1	202	1
SLC12A4	0.0886207753831049	2	44	1	202	1
GRIN2D	0.0886207753831049	2	44	1	202	1
FAM46D	0.0886207753831049	2	44	1	202	1
AIM1	0.0886207753831049	2	44	1	202	1
GABRD	0.0886207753831049	2	44	1	202	1
NWD1	0.0886207753831049	2	44	1	202	1
HOXA7	0.0886207753831049	2	44	1	202	1
C19orf57	0.0886207753831049	2	44	1	202	1
TONSL	0.0886207753831049	2	44	1	202	1
UNC79	0.0886207753831049	2	44	1	202	1
CDH7	0.0886207753831049	2	44	1	202	1
BTN1A1	0.0886207753831049	2	44	1	202	1
ADH7	0.0886207753831049	2	44	1	202	1
GRIK2	0.0886207753831049	2	44	1	202	1
LMTK2	0.0886207753831049	2	44	1	202	1
PRKCH	0.0886207753831049	2	44	1	202	1
PCM1	0.0886207753831049	2	44	1	202	1
GPC5	0.0886207753831049	2	44	1	202	1
DCTN1	0.0886207753831049	2	44	1	202	1
CCT5	0.0886207753831049	2	44	1	202	1
CEP250	0.0886207753831049	2	44	1	202	1
AMER3	0.0886207753831049	2	44	1	202	1
CSPG4	0.0886207753831049	2	44	1	202	1
CLSTN2	0.0886207753831049	2	44	1	202	1
ANKRD18A	0.0886207753831049	2	44	1	202	1
OR5D18	0.0886207753831049	2	44	1	202	1
SLC12A1	0.0886207753831049	2	44	1	202	1
NPTX2	0.0886207753831049	2	44	1	202	1
LINGO2	0.0886207753831049	2	44	1	202	1
OR4A47	0.0886207753831049	2	44	1	202	1
AIM1L	0.0886207753831049	2	44	1	202	1
CHFR	0.0886207753831049	2	44	1	202	1
FHOD3	0.0886207753831049	2	44	1	202	1
DNAJC13	0.0886207753831049	2	44	1	202	1
DCHS1	0.0886207753831049	2	44	1	202	1
ATAD2	0.0886207753831049	2	44	1	202	1
CDH11	0.0886207753831049	2	44	1	202	1
EDRF1	0.0886207753831049	2	44	1	202	1
MYO10	0.0886207753831049	2	44	1	202	1
CD300LG	0.0886207753831049	2	44	1	202	1
EYA1	0.0886207753831049	2	44	1	202	1
MUC3A	0.0886207753831049	2	44	1	202	1
PPFIA1	0.0886207753831049	2	44	1	202	1
IDUA	0.0886207753831049	2	44	1	202	1
ZNF777	0.0886207753831049	2	44	1	202	1
SULT1A1	0.0886207753831049	2	44	1	202	1
TAOK1	0.0886207753831049	2	44	1	202	1
F11R	0.0886207753831049	2	44	1	202	1
OR56B4	0.0886207753831049	2	44	1	202	1
MARS2	0.0886207753831049	2	44	1	202	1
CCDC33	0.0886207753831049	2	44	1	202	1
ZNF790	0.0886207753831049	2	44	1	202	1
ASPH	0.0886207753831049	2	44	1	202	1
TRIM40	0.0886207753831049	2	44	1	202	1
VPS13D	0.0886207753831049	2	44	1	202	1
EPPK1	0.0886207753831049	2	44	1	202	1
C3orf20	0.0886207753831049	2	44	1	202	1
PTPDC1	0.0886207753831049	2	44	1	202	1
SURF6	0.0886207753831049	2	44	1	202	1
FAM83B	0.0886207753831049	2	44	1	202	1
ARID1A	0.0886207753831049	2	44	1	202	1
CELSR2	0.0886207753831049	2	44	1	202	1
CYP46A1	0.0886207753831049	2	44	1	202	1
CALCOCO1	0.0886207753831049	2	44	1	202	1
TBX4	0.0886207753831049	2	44	1	202	1
CENPC	0.0886207753831049	2	44	1	202	1
ZXDA	0.0886207753831049	2	44	1	202	1
TTLL8	0.0886207753831049	2	44	1	202	1
RALGAPA2	0.0886207753831049	2	44	1	202	1
TDRD12	0.0886207753831049	2	44	1	202	1
PTCH1	0.0886207753831049	2	44	1	202	1
ADAR	0.0886207753831049	2	44	1	202	1
HEATR5B	0.0886207753831049	2	44	1	202	1
ATG2B	0.0886207753831049	2	44	1	202	1
GOLM1	0.0886207753831049	2	44	1	202	1
IGSF3	0.0886207753831049	2	44	1	202	1
DOPEY2	0.0886207753831049	2	44	1	202	1
ZCCHC2	0.0886207753831049	2	44	1	202	1
TAF1L	0.0886207753831049	2	44	1	202	1
DOC2A	0.0886207753831049	2	44	1	202	1
CCDC88C	0.0886207753831049	2	44	1	202	1
NRCAM	0.0886207753831049	2	44	1	202	1
GTF3C5	0.0886207753831049	2	44	1	202	1
FUT1	0.0886207753831049	2	44	1	202	1
IGF1R	0.0886207753831049	2	44	1	202	1
PRR23A	0.0886207753831049	2	44	1	202	1
LHCGR	0.0886207753831049	2	44	1	202	1
TMPRSS11BNL	0.0886207753831049	2	44	1	202	1
SERPINA4	0.0886207753831049	2	44	1	202	1
TSC1	0.0886207753831049	2	44	1	202	1
CLVS2	0.0886207753831049	2	44	1	202	1
GPX5	0.0886207753831049	2	44	1	202	1
AP1G2	0.0886207753831049	2	44	1	202	1
MGAT3	0.0886207753831049	2	44	1	202	1
ANXA1	0.0886207753831049	2	44	1	202	1
NOVA1	0.0886207753831049	2	44	1	202	1
NKTR	0.0886207753831049	2	44	1	202	1
TRANK1	0.0886207753831049	2	44	1	202	1
SEMA6A	0.0886207753831049	2	44	1	202	1
GBA2	0.0886207753831049	2	44	1	202	1
ZNF578	0.0886207753831049	2	44	1	202	1
CTNNA3	0.0886207753831049	2	44	1	202	1
SLC9A9	0.0886207753831049	2	44	1	202	1
