ID	Description	Count	GeneRatio	geneID
GO:0032501	multicellular organismal process	99	99/197	ACTN1/ACVRL1/AGT/ALDH1A3/AURKA/B4GALNT1/BATF/BCAR3/BTG2/C1QB/C1QC/CCNB2/CD14/CD3D/CD3E/CDC20/CDK4/CORO1A/CPNE5/CSF1R/CX3CL1/E2F2/EBF2/ELN/ENO1/EPHX2/F10/FABP4/FAIM2/FCER1G/FERMT3/FOSL1/FOXF1/FOXF2/FRZB/FXYD1/GATA6/GNA15/GNG7/GNG8/GRIN2D/HAS2/HK2/HSPB7/IGSF21/IL18/IL2RA/ISM1/ITM2A/KCNH2/KIF18A/KLF15/LAMA2/LGI4/LILRB4/LIMS2/MAOB/MELK/MET/MGP/MME/MMP19/MSX2/NCAPH/NDRG1/OSCAR/OSR1/PDE1B/PGK1/PRKAR2B/PRRX2/PTGDS/PTGFR/RAD54L/RHOB/RSPO3/S100A9/SASH3/SCN4B/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/SLC2A1/SMOC1/SMOC2/SNCG/SPI1/TLR5/TMEM150C/TNNT3/TTLL7/TYROBP/VAV1/VSTM2L/VWA1/WNT11/ZNF423
GO:0032502	developmental process	88	88/197	ACTN1/ACVRL1/AGT/ALDH1A3/AURKA/BATF/BCAR3/BTG2/C1QB/C1QC/CCNB2/CD3D/CD3E/CDC20/CDC42EP5/CDK4/CORO1A/CPNE5/CSF1R/CX3CL1/E2F2/EBF2/ELN/FABP4/FAIM2/FCER1G/FERMT3/FOSL1/FOXF1/FOXF2/FOXM1/FRZB/GATA6/GNG8/GRIN2D/HAS2/HCK/HK2/HMGA1/HSPB7/IGSF21/IL18/IL2RA/ISM1/ITM2A/KIF18A/KLF15/LAMA2/LGI4/LILRB4/LIMS2/MAOB/MELK/MEST/MET/MGP/MME/MMP19/MSX2/NDRG1/OSCAR/OSR1/PDE1B/PGK1/PRRX2/RAD54L/RHOB/RHOD/RSPO3/S100A9/SASH3/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/SLC2A1/SMOC1/SMOC2/SPI1/TNNT3/TTLL7/TYROBP/VAV1/VSTM2L/VWA1/WNT11/ZNF423
GO:0040011	locomotion	32	32/197	ACVRL1/AGT/CCL5/CORO1A/CSF1R/CX3CL1/CYGB/F10/FCER1G/FERMT3/FOSL1/FOXF1/FPR1/GTSE1/HAS2/HCK/LAMA2/MET/MSX2/RHOB/RHOD/S100A9/SELPLG/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/SMOC2/VAV1/VSTM2L/WNT11
GO:0043473	pigmentation	0	0/197	
GO:0044848	biological phase	1	1/197	MSX2
GO:0048511	rhythmic process	5	5/197	ARNTL2/CDK4/HAS2/MMP19/PTGDS
GO:0048518	positive regulation of biological process	92	92/197	ACOX2/ACTN1/ACVRL1/AGT/ALDH1A3/APBB1IP/ARNTL2/AURKA/BATF/BCAR3/BTG2/BTNL9/C1QA/C1QB/C1QC/C7/CCL5/CCNB2/CD14/CD3D/CD3E/CDC20/CDC42EP5/CDK4/CORO1A/CPNE5/CSF1R/CX3CL1/DLGAP5/E2F2/EBF2/EMID1/ENO1/EPHX2/F10/FABP4/FCER1G/FERMT3/FOSL1/FOXF1/FOXF2/FOXM1/FPR1/FRZB/FXYD1/GATA6/GRIN2D/GTSE1/HAS2/HCK/HK2/HMGA1/IL18/IL2RA/KCNH2/KLF15/LAMA2/LILRB4/LIMS2/MAOB/MELK/MET/MSX2/OSR1/PFKFB4/PLAGL1/PRKAR2B/PRR5/PTGFR/RASL11A/RHOB/RHOD/RSPO3/S100A9/SASH3/SCN4B/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/SHC2/SMOC2/SPI1/TLR5/TPX2/TRBC2/UHRF1/VAV1/VSIG4/WNT11/ZNF423
GO:0048519	negative regulation of biological process	69	69/197	ACTN1/ACVRL1/AGT/AOC3/AURKA/BTG2/C1QC/CCL5/CD14/CD3E/CDC20/CDK4/CORO1A/CSF1R/CX3CL1/CYGB/E2F2/ENO1/FABP4/FAIM2/FCER1G/FOSL1/FOXF1/FOXF2/FOXM1/FRZB/FXYD1/GATA6/GTSE1/HCK/HK2/HMGA1/IL18/IL2RA/ISM1/ITIH5/ITM2A/KCNH2/KLF15/LILRB4/LIMS2/MAOB/MET/MPV17L/MSX2/NDRG1/OGN/OSR1/PBK/PGK1/PLAGL1/PPP1R14A/PRKAR2B/PRR11/PTGFR/PTPRN2/RHOB/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/SLPI/SPI1/SUSD2/UHRF1/VSTM2L/WNT11/ZNF423
GO:0050789	regulation of biological process	145	145/197	ACOX2/ACTN1/ACVRL1/AGT/ALDH1A3/ANGPTL1/AOC3/APBB1IP/ARHGEF25/ARNTL2/AURKA/BATF/BCAR3/BTG2/BTNL9/C1QA/C1QB/C1QC/C7/CCL5/CCNB2/CD14/CD300C/CD3D/CD3E/CDC20/CDC42EP5/CDK4/CORO1A/COX7A1/CPNE5/CSF1R/CX3CL1/CYGB/CYTH4/DEPDC7/DLGAP5/E2F2/EBF2/EMID1/ENO1/EPHX2/F10/FABP4/FAIM2/FCER1G/FERMT3/FMOD/FOSL1/FOXF1/FOXF2/FOXM1/FPR1/FRZB/FXYD1/FXYD6/GATA6/GNA15/GNG7/GNG8/GRIN2D/GTSE1/HAS2/HCK/HK2/HMGA1/HSPB7/IL18/IL2RA/IL2RG/ISM1/ITIH5/ITM2A/KCNH2/KIF18A/KIF18B/KIF2C/KLF15/LAIR1/LAMA2/LGI4/LILRB4/LILRB5/LIMS2/LYNX1/MAOB/MELK/MEST/MET/MGP/MPV17L/MSX2/NCF4/NDRG1/OGN/OSCAR/OSR1/PBK/PDE1A/PDE1B/PFKFB4/PGK1/PLAGL1/PPP1R14A/PRKAR2B/PRR11/PRR5/PRRX2/PTGDS/PTGFR/PTPRN2/RASGRP2/RASL11A/RHOB/RHOD/RSPO3/S100A9/SASH3/SCN4B/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/SHC2/SLC2A1/SLPI/SMOC1/SMOC2/SNCG/SPI1/SUSD2/SYNGR1/TLR5/TMEM150C/TNNT3/TPX2/TRBC2/TYROBP/UHRF1/VAV1/VSIG4/VSTM2L/WNT11/ZNF423
GO:0050896	response to stimulus	137	137/197	ABCG2/ACOX2/ACVRL1/AGT/ALDH1A3/ALOX5AP/ANGPTL1/AOC3/APBB1IP/ARHGEF25/ARNTL2/AURKA/BATF/BCAR3/BTG2/BTNL9/C1QA/C1QB/C1QC/C7/CCL5/CD14/CD163/CD300C/CD3D/CD3E/CDC42EP5/CDK4/CORO1A/CPNE5/CSF1R/CX3CL1/CYGB/CYTH4/DEPDC7/DLGAP5/E2F2/ENO1/EPHX2/F10/FABP4/FAIM2/FCER1G/FERMT3/FMOD/FOSL1/FOXF1/FOXM1/FPR1/FRZB/GATA6/GNA15/GNG7/GNG8/GPX3/GRIN2D/GTSE1/HAS2/HCK/HK2/HMGA1/HSPB2/HSPB7/IL18/IL2RA/IL2RG/ITM2A/KCNH2/KIF18A/KLF15/LAIR1/LAMA2/LAPTM5/LILRB4/LILRB5/LIMS2/LYNX1/MAOB/MAP1LC3A/MARC2/MELK/MET/METTL7A/MME/MMP19/MPV17L/MSX2/NCF4/NDRG1/OGN/OSCAR/OSR1/PBK/PDE1A/PDE1B/PGK1/PLAGL1/PPP1R14A/PRKAR2B/PRR5/PTGFR/PTPRN2/RAD54L/RASGRP2/RASL11A/RHOB/RHOD/RSPO3/S100A9/SASH3/SELPLG/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/SHC2/SIGLEC1/SLC2A1/SLPI/SMOC2/SNCG/SPI1/SUSD2/SYNGR1/TLR5/TMEM150C/TPX2/TRBC2/TYROBP/UHRF1/VAV1/VSIG4/VSTM2L/VWA1/WNT11/ZNF423
GO:0051179	localization	78	78/197	ABCG2/ACOX2/ACTN1/ACVRL1/AGT/AURKA/B4GALNT1/CCL5/CD14/CD163/CDCA8/CORO1A/COX7A1/CSF1R/CX3CL1/CYGB/DLGAP5/EPHX2/F10/FABP4/FCER1G/FERMT3/FOXF1/FPR1/FXYD1/FXYD6/GRIN2D/GTSE1/HAS2/HCK/HK2/HMGA1/KCNH2/KIF18A/KIF2C/KIF4A/LAIR1/LAMA2/LILRB4/MAOB/MEST/MET/METTL7A/MME/MPV17L/MSX2/NCF4/OSCAR/OSR1/PRKAR2B/PTPRN2/RHOB/RHOD/S100A9/SCN4B/SELENBP1/SELPLG/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/SIGLEC1/SLC2A1/SLC37A2/SLCO2B1/SLPI/SMOC2/SNCG/SUSD2/SYNGR1/TLR5/TMEM150C/TRBC2/TUBA1C/TYROBP/VAV1/WNT11
GO:0051704	multi-organism process	30	30/197	AGT/AURKA/B4GALNT1/BATF/CCL5/CD14/CDK4/CX3CL1/ENO1/FABP4/FCER1G/FOSL1/GNG8/HCK/HMGA1/IL18/IL2RA/IL2RG/KIF18A/MAOB/MET/MMP19/NCAPH/PTGFR/S100A9/SELPLG/SLC2A1/SLPI/TLR5/TRBC2
GO:0065007	biological regulation	151	151/197	ABCG2/ACOX2/ACTN1/ACVRL1/AGT/ALDH1A3/ALOX5AP/ANGPTL1/AOC3/APBB1IP/ARHGEF25/ARNTL2/AURKA/B4GALNT1/BATF/BCAR3/BTG2/BTNL9/C1QA/C1QB/C1QC/C7/CCL5/CCNB2/CD14/CD300C/CD3D/CD3E/CDC20/CDC42EP5/CDK4/CORO1A/COX7A1/CPNE5/CSF1R/CX3CL1/CYGB/CYTH4/DEPDC7/DLGAP5/E2F2/EBF2/EMID1/ENO1/EPHX2/F10/FABP4/FAIM2/FCER1G/FERMT3/FMOD/FOSL1/FOXF1/FOXF2/FOXM1/FPR1/FRZB/FXYD1/FXYD6/GATA6/GNA15/GNG7/GNG8/GRIN2D/GTSE1/HAS2/HCK/HK2/HMGA1/HSPB2/HSPB7/IL18/IL2RA/IL2RG/ISM1/ITIH5/ITM2A/KCNH2/KIF18A/KIF18B/KIF2C/KLF15/LAIR1/LAMA2/LGI4/LILRB4/LILRB5/LIMS2/LYNX1/MAOB/MELK/MEST/MET/MGP/MME/MPV17L/MSX2/NCAPH/NCF4/NDRG1/OGN/OSCAR/OSR1/PBK/PDE1A/PDE1B/PFKFB4/PGK1/PLAGL1/PPP1R14A/PRKAR2B/PRR11/PRR5/PRRX2/PTGDS/PTGFR/PTPRN2/RASGRP2/RASL11A/RHOB/RHOD/RSPO3/S100A9/SASH3/SCN4B/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/SHC2/SLC2A1/SLPI/SMOC1/SMOC2/SNCG/SPI1/SUSD2/SYNGR1/TLR5/TMEM150C/TNNT3/TPX2/TRBC2/TYROBP/UHRF1/VAV1/VSIG4/VSTM2L/WNT11/ZNF423
GO:0071840	cellular component organization or biogenesis	77	77/197	ACOX2/ACTN1/ACVRL1/AGT/ALDH1A3/ALOX5AP/AURKA/BTG2/CCL5/CCNB2/CD14/CD3D/CD3E/CDC20/CDC42EP5/CDCA8/CDK4/CORO1A/COX7A1/CPNE5/CSF1R/CX3CL1/DLGAP5/ELN/ENO1/EPHX2/FCER1G/FERMT3/FMOD/FOSL1/FOXF1/FOXF2/FRZB/GPX3/HAS2/HCK/HK2/HMGA1/IGSF21/KIF18A/KIF18B/KIF2C/KIF4A/LAMA2/LIMS2/MAP1LC3A/MET/MMP19/MPV17L/MSX2/NCAPH/NDRG1/PRKAR2B/RAD54L/RASGRP2/RHOB/RHOD/S100A9/SEMA3B/SEMA3G/SEMA7A/SFRP1/SFRP2/SLC2A1/SMOC2/SNCG/SPI1/SYNGR1/TNNT3/TPX2/TRBC2/TUBA1C/UHRF1/VAV1/VSTM2L/VWA1/WNT11
GO:0098743	cell aggregation	1	1/197	MGP
GO:0098754	detoxification	5	5/197	ALOX5AP/CYGB/GPX3/MARC2/S100A9
